mAb,Reference,CL,VC,VP,Q,ka,F,Km,Vm,Route,NonLin,TMDD,Time dependency,Fixed Parameters,Detection,N,Smpls,CL_WT,VC_WT,VP_WT,Q_WT,Size descriptor,Ref size,CL_SEX,VC_SEX,VP_SEX,SEX,CL_ALB,VC_ALB,VP_ALB,ALB,CL_ADA,cov_remark,Basemodel included,Modelcode included
bevacizumab,https://doi.org/10.1007/s00280-012-2031-7,0.231,2.83,2.49,0.636,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,1213,5603,0.485,0.461,NA,NA,BW,78.3,NA,0.09,NA,F,NA,NA,NA,NA,NA,NA,No,0
bevacizumab,https://doi.org/10.1007/s00280-007-0664-8,0.207,2.66,2.759,0.593,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,491,4629,0.368,0.411,NA,NA,BW,74,0.264,0.221,NA,F,0.726,-0.333,NA,37,0,NA,No,0
bevacizumab,https://doi.org/10.1007/s40262-016-0406-3,0.19,4.2,7.7,0.69,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA,130,486,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,0
bezlotoxumab,https://doi.org/10.1128/AAC.01971-18,0.281,3.43,3.57,0.552,NA,NA,NA,NA,i.v.,0,NA,0,NA,ELISA & ECL,1587,8784,0.477,0.477,0.477,0.477,BW,72,0.219,0.243,NA,F,-0.897,-0.12,NA,35,NA,V1_Alb linear,No,0
brodalumab,https://doi.org/10.1111/bcpt.13202,0.155,4.68,2.41,0.328,0.3,0.548,0.02,6.07,s.c./i.v.,1,MM,0,"F, Km",ELISA,622,7725,0.767,0.938,NA,NA,BW,87,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,0
brodalumab,https://doi.org/10.1002/jcph.334,0.223,4.62,1.84,0.697,0.236,0.576,0.02,5.16,s.c./i.v.,1,MM,0,"F, Km",ELISA,196,1526,0.598,0.849,0.849,0.598,BW,90,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Yes,0
brodalumab,https://doi.org/10.1002/cpdd.103,0.28,3.9,2.89,1.01,0.255,0.576,0.01,4.39,s.c./i.v.,1,MM,0,Km,ELISA,82,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
canakinumab,https://doi.org/10.1038/psp.2012.6,0.104,3.71,2.24,0.165,0.266,0.667,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,349,6918,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,No,1
canakinumab,https://doi.org/10.2165/11599820-000000000-00000,0.137,3.3,2.71,0.429,0.269,0.7,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,233,NA,0.695,0.684,0.798,NA,BW,70,NA,NA,NA,0,-0.916,NA,NA,43,0,NA,No,0
canakinumab,https://doi.org/10.1002/jcph.162,0.214,4.58,2.86,0.503,0.296,0.588,NA,NA,s.c./i.v.,1,TMDD,0,NA,ELISA,601,NA,0.612,0.971,0.275,NA,BW,93,NA,NA,NA,0,-0.948,NA,NA,43,0,NA,No,0
